"","Number","RCO2","BDCO2","RH2O","BDH2O"
"97",96,0.980456420924109,-0.0200591156320339,1.00467785768408,-0.00467785768407514
"98",97,0.971297328837826,-0.00883922782633649,1.01686115825399,-0.0168611582539862
"99",98,0.978109987112725,-0.0171847342130883,1.02374628467116,-0.023746284671164
"100",99,0.987859550318374,-0.0291279491400078,1.016674849027,-0.016674849026995
"101",100,0.973404209011664,-0.0114201560392884,1.02767166172302,-0.0276716617230213
"102",101,0.986063022225932,-0.0269272022267667,1.01141086380893,-0.0114108638089345
"103",102,0.968705949536884,-0.00566478818268255,1.03395209206512,-0.0339520920651184
"104",103,0.989913919831318,-0.0316445517933646,1.04450069306258,-0.0445006930625795
"105",104,0.988453941390448,-0.0298560782032983,1.03730400766898,-0.0373040076689801
"106",105,0.981504719367427,-0.0213432812250986,1.03542241748087,-0.0354224174808675
"107",106,0.986452423528893,-0.0274042188228944,1.02841622362057,-0.0284162236205665
"108",107,0.980904880410247,-0.0206084785025521,1.0367157104341,-0.0367157104341029
"109",108,0.984039151450601,-0.0244479605269864,1.03596767157059,-0.0359676715705917
"110",109,0.981473371917639,-0.0213048805991074,1.02367172203034,-0.0236717220303371
"111",110,0.989313326769724,-0.0309088252929121,1.02896958533849,-0.0289695853384948
"112",111,0.981145864397082,-0.0209036838864248,1.03265449925055,-0.0326544992505495
"113",112,0.986830773925314,-0.0278676980585093,1.01536653236157,-0.0153665323615715
"114",113,0.980186910044098,-0.0197289648040199,1.02565684646056,-0.0256568464605571
"115",114,0.991500811673479,-0.0335884943000119,1.01141499767939,-0.0114149976793947
"116",115,0.97818371344112,-0.0172750489653721,1.01580149550495,-0.0158014955049508
"117",116,0.98351390459728,-0.0238045331316675,1.01837068481104,-0.0183706848110448
"118",117,0.977068326282667,-0.0159086996962666,1.02037424098263,-0.0203742409826289
"119",118,0.982647952314601,-0.0227437415853864,1.03273290468833,-0.0327329046883345
"120",119,0.970872564080479,-0.00831889099858712,1.00631125368726,-0.00631125368726426
"121",120,0.975858978607994,-0.0144272487947922,1.04872172132799,-0.048721721327988
"122",121,0.97672406874471,-0.0154869842122692,1.03020460057061,-0.0302046005706107
"123",122,0.979435519568266,-0.0188085114711264,1.02805857523846,-0.0280585752384552
"124",123,0.984330606866079,-0.0248049934109472,1.04543007447215,-0.0454300744721488
"125",124,0.976602246701133,-0.0153377522088884,1.03393405672546,-0.0339340567254631
"126",125,0.984089687859294,-0.0245098676276346,1.03871731083231,-0.0387173108323104
